start_date,end_date,updated_date,value,production_type,type,sub_type
2024-11-10 12:00:00+01:00,2024-11-10 12:30:00+01:00,2024-11-09T22:05:00+01:00,6202,AGGREGATED_CPC,D-1,ID01
2024-11-10 12:30:00+01:00,2024-11-10 13:00:00+01:00,2024-11-09T22:05:00+01:00,6298,AGGREGATED_CPC,D-1,ID01
2024-11-10 13:00:00+01:00,2024-11-10 13:30:00+01:00,2024-11-09T22:05:00+01:00,6256,AGGREGATED_CPC,D-1,ID01
2024-11-10 13:30:00+01:00,2024-11-10 14:00:00+01:00,2024-11-09T22:05:00+01:00,6074,AGGREGATED_CPC,D-1,ID01
2024-11-10 14:00:00+01:00,2024-11-10 14:30:00+01:00,2024-11-09T22:05:00+01:00,5771,AGGREGATED_CPC,D-1,ID01
2024-11-10 14:30:00+01:00,2024-11-10 15:00:00+01:00,2024-11-09T22:05:00+01:00,5361,AGGREGATED_CPC,D-1,ID01
2024-11-10 15:00:00+01:00,2024-11-10 15:30:00+01:00,2024-11-09T22:05:00+01:00,4784,AGGREGATED_CPC,D-1,ID01
2024-11-10 15:30:00+01:00,2024-11-10 16:00:00+01:00,2024-11-09T22:05:00+01:00,4134,AGGREGATED_CPC,D-1,ID01
2024-11-10 16:00:00+01:00,2024-11-10 16:30:00+01:00,2024-11-09T22:05:00+01:00,3407,AGGREGATED_CPC,D-1,ID01
2024-11-10 16:30:00+01:00,2024-11-10 17:00:00+01:00,2024-11-09T22:05:00+01:00,2796,AGGREGATED_CPC,D-1,ID01
2024-11-10 17:00:00+01:00,2024-11-10 17:30:00+01:00,2024-11-09T22:05:00+01:00,2484,AGGREGATED_CPC,D-1,ID01
2024-11-10 17:30:00+01:00,2024-11-10 18:00:00+01:00,2024-11-09T22:05:00+01:00,2464,AGGREGATED_CPC,D-1,ID01
2024-11-10 18:00:00+01:00,2024-11-10 18:30:00+01:00,2024-11-09T22:05:00+01:00,2534,AGGREGATED_CPC,D-1,ID01
2024-11-10 18:30:00+01:00,2024-11-10 19:00:00+01:00,2024-11-09T22:05:00+01:00,2568,AGGREGATED_CPC,D-1,ID01
2024-11-10 19:00:00+01:00,2024-11-10 19:30:00+01:00,2024-11-09T22:05:00+01:00,2612,AGGREGATED_CPC,D-1,ID01
2024-11-10 19:30:00+01:00,2024-11-10 20:00:00+01:00,2024-11-09T22:05:00+01:00,2627,AGGREGATED_CPC,D-1,ID01
2024-11-10 20:00:00+01:00,2024-11-10 20:30:00+01:00,2024-11-09T22:05:00+01:00,2644,AGGREGATED_CPC,D-1,ID01
2024-11-10 20:30:00+01:00,2024-11-10 21:00:00+01:00,2024-11-09T22:05:00+01:00,2683,AGGREGATED_CPC,D-1,ID01
2024-11-10 21:00:00+01:00,2024-11-10 21:30:00+01:00,2024-11-09T22:05:00+01:00,2720,AGGREGATED_CPC,D-1,ID01
